"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 01 22:35:53 CEST 2024","Mon Jul 01 22:35:54 CEST 2024","1311","","Online Store UI-Tests","","Online Store UI-Tests","6 - Check displaying Lost your password button on Log in Page","6 - Check displaying Lost your password button on Log in Page",""
"passed","Mon Jul 01 22:35:36 CEST 2024","Mon Jul 01 22:35:37 CEST 2024","966","","Online Store UI-Tests","","Online Store UI-Tests","3 - Check that registration from is displayed after clicking on Registered button on Login Page","3 - Check that registration from is displayed after clicking on Registered button on Login Page",""
"passed","Mon Jul 01 22:35:26 CEST 2024","Mon Jul 01 22:35:31 CEST 2024","5437","","Online Store UI-Tests","","Online Store UI-Tests","1 - Check that login form is displayed after clicking on Login button","1 - Check that login form is displayed after clicking on Login button",""
"passed","Mon Jul 01 22:35:46 CEST 2024","Mon Jul 01 22:35:53 CEST 2024","7169","","Online Store UI-Tests","","Online Store UI-Tests","5 - Check displaying error message when a user tries to log in with empty fields","5 - Check displaying error message when a user tries to log in with empty fields",""
"passed","Mon Jul 01 22:36:27 CEST 2024","Mon Jul 01 22:36:37 CEST 2024","9820","","Online Store UI-Tests","","Online Store UI-Tests","10 - Check pop-up is dispalyed when a user clicks on Size Guide Link ","10 - Check pop-up is dispalyed when a user clicks on Size Guide Link ",""
"passed","Mon Jul 01 22:35:31 CEST 2024","Mon Jul 01 22:35:36 CEST 2024","4818","","Online Store UI-Tests","","Online Store UI-Tests","2 - Check that login form is displayed after clicking on Login button on Login Page","2 - Check that login form is displayed after clicking on Login button on Login Page",""
"passed","Mon Jul 01 22:36:07 CEST 2024","Mon Jul 01 22:36:17 CEST 2024","10110","","Online Store UI-Tests","","Online Store UI-Tests","8 - Check button Add to Bucket is not active when a user chooses only Color","8 - Check button Add to Bucket is not active when a user chooses only Color",""
"passed","Mon Jul 01 22:36:17 CEST 2024","Mon Jul 01 22:36:27 CEST 2024","10038","","Online Store UI-Tests","","Online Store UI-Tests","9 - Check button Add to Bucket is not active when a user chooses only Size","9 - Check button Add to Bucket is not active when a user chooses only Size",""
"passed","Mon Jul 01 22:35:37 CEST 2024","Mon Jul 01 22:35:46 CEST 2024","8555","","Online Store UI-Tests","","Online Store UI-Tests","4 - Check displaying error message for invalid credentials","4 - Check displaying error message for invalid credentials",""
"passed","Mon Jul 01 22:35:54 CEST 2024","Mon Jul 01 22:36:07 CEST 2024","12517","","Online Store UI-Tests","","Online Store UI-Tests","7 - Check button Add to Bucket is not active","7 - Check button Add to Bucket is not active",""
